product_id,product_name,provider,asset_class,subtype,risk_level,expected_role,volatility,return_1y,return_3m,liquidity_score,cost_score,score,exclude_reason,raw_liquidity,avg_trading_value_20d,latest_trading_value,as_of_date,market,theme,theme_risk_level,Ticker,Name,Volatility(%),Risk_Level,Theme_Risk_Level,Provider,Market,Theme,AvgTradingValue(20D),LatestTradingValue,Preference_Score,Selection_Reason,AsOfDate,Liquidity_Score,Stability_Score,Selection_Score
284430,KODEX 200미국채혼합,KODEX,bond,gov_bond,3,fixed_income_core,0.1496069198399332,0.8295368261199696,0.20414792603698162,0.911504424778761,0.5,0.796416,,34639790192.21667,48182531272.4,39854995716.0,20260530,global,gov_bond,4.0,284430,KODEX 200미국채혼합,14.96,3,4.0,KODEX,global,gov_bond,48182531272.4,39854995716.0,0.796416,fixed_income_core,20260530,0.911504,0.429825,0.796416
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,KODEX,bond,aggregate_bond,3,fixed_income,0.3319165784959888,0.43767441860465106,0.43767441860465106,0.9663716814159292,0.5,0.774027,,114446453462.05556,125551396633.45,100554894852.0,20260530,domestic,aggregate_bond,,0177N0,KODEX 삼성전자SK하이닉스채권혼합50,33.19,3,,KODEX,domestic,aggregate_bond,125551396633.45,100554894852.0,0.774027,fixed_income,20260530,0.966372,0.324561,0.774027
448330,KODEX 삼성전자채권혼합,KODEX,bond,aggregate_bond,3,fixed_income,0.1746518189610494,0.6807116104868913,0.14258434118395935,0.9168141592920354,0.5,0.771726,,37499672020.61667,42082702186.75,32456991829.0,20260530,domestic,aggregate_bond,,448330,KODEX 삼성전자채권혼합,17.47,3,,KODEX,domestic,aggregate_bond,42082702186.75,32456991829.0,0.771726,fixed_income,20260530,0.916814,0.377193,0.771726
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,RISE,bond,aggregate_bond,3,fixed_income,0.41340955251525036,0.35764050162563854,0.35764050162563854,0.9672566371681416,0.5,0.762566,,116754484033.83333,217569294867.8,245808623664.0,20260530,domestic,aggregate_bond,,0162Z0,RISE 삼성전자SK하이닉스채권혼합50,41.34,3,,RISE,domestic,aggregate_bond,217569294867.8,245808623664.0,0.762566,fixed_income,20260530,0.967257,0.131579,0.762566
448630,RISE 삼성그룹Top3채권혼합,RISE,bond,aggregate_bond,3,fixed_income,0.16311019948706063,0.5945807770961145,0.1175206019347903,0.8,0.5,0.714204,,8340418208.583333,10119799648.1,7260149465.0,20260530,domestic,aggregate_bond,,448630,RISE 삼성그룹Top3채권혼합,16.31,3,,RISE,domestic,aggregate_bond,10119799648.1,7260149465.0,0.714204,fixed_income,20260530,0.8,0.403509,0.714204
0019K0,TIME 미국나스닥100채권혼합50액티브,TIME,bond,aggregate_bond,3,fixed_income,0.14662612190600707,0.44422310756972117,0.22156697556866045,0.779646017699115,0.5,0.690885,,6918694840.816667,13504439611.35,16646671910.0,20260530,global,aggregate_bond,4.0,0019K0,TIME 미국나스닥100채권혼합50액티브,14.66,3,4.0,TIME,global,aggregate_bond,13504439611.35,16646671910.0,0.690885,fixed_income,20260530,0.779646,0.438596,0.690885
0182S0,1Q K반도체TOP2채권혼합50,1Q,bond,aggregate_bond,3,fixed_income,0.31967613683264073,0.35622529644268774,0.35622529644268774,0.8053097345132744,0.5,0.689159,,8879748601.870968,10283436209.4,11715920103.0,20260530,domestic,aggregate_bond,,0182S0,1Q K반도체TOP2채권혼합50,31.97,3,,1Q,domestic,aggregate_bond,10283436209.4,11715920103.0,0.689159,fixed_income,20260530,0.80531,0.333333,0.689159
438100,ACE 미국나스닥100미국채혼합50액티브,ACE,bond,gov_bond,3,fixed_income_core,0.09422218874884757,0.27179291968024355,0.16532961283571668,0.7734513274336283,0.5,0.686327,,6760477340.6,10585747111.2,15797909141.0,20260530,global,gov_bond,4.0,438100,ACE 미국나스닥100미국채혼합50액티브,9.42,3,4.0,ACE,global,gov_bond,10585747111.2,15797909141.0,0.686327,fixed_income_core,20260530,0.773451,0.684211,0.686327
438080,ACE 미국S&P500미국채혼합50액티브,ACE,bond,gov_bond,3,fixed_income_core,0.08974237203198734,0.2048528241845664,0.10911753936287072,0.7938053097345132,0.5,0.683274,,7939490919.666667,10800545716.45,12438135797.0,20260530,global,gov_bond,4.0,438080,ACE 미국S&P500미국채혼합50액티브,8.97,3,4.0,ACE,global,gov_bond,10800545716.45,12438135797.0,0.683274,fixed_income_core,20260530,0.793805,0.710526,0.683274
251600,PLUS 고배당주채권혼합,PLUS,bond,aggregate_bond,3,fixed_income,0.14361794928881863,0.18014291086874756,-0.059352517985611475,0.8442477876106195,0.5,0.682611,,13736424344.766666,15465703622.4,15418390574.0,20260530,domestic,aggregate_bond,3.0,251600,PLUS 고배당주채권혼합,14.36,3,3.0,PLUS,domestic,aggregate_bond,15465703622.4,15418390574.0,0.682611,fixed_income,20260530,0.844248,0.447368,0.682611
329750,TIGER 미국달러단기채권액티브,TIGER,bond,short_bond,3,stable_bond,0.09769929561593209,0.12326043737574555,0.06203007518796988,0.768141592920354,0.5,0.669159,,6507970063.633333,6113926714.2,4053928998.0,20260530,global,short_bond,2.0,329750,TIGER 미국달러단기채권액티브,9.77,3,2.0,TIGER,global,short_bond,6113926714.2,4053928998.0,0.669159,stable_bond,20260530,0.768142,0.631579,0.669159
453850,ACE 미국30년국채액티브(H),ACE,bond,gov_bond,3,fixed_income_core,0.09863575291791961,-0.023622047244094446,-0.046764894298526594,0.8707964601769912,0.5,0.664469,,19949537021.816666,21914917115.5,20691759900.0,20260530,global,gov_bond,,453850,ACE 미국30년국채액티브(H),9.86,3,,ACE,global,gov_bond,21914917115.5,20691759900.0,0.664469,fixed_income_core,20260530,0.870796,0.614035,0.664469
490490,SOL 미국배당미국채혼합50,SOL,bond,gov_bond,3,fixed_income_core,0.09634173290095266,0.216923076923077,0.049535603715170184,0.7212389380530974,0.5,0.652212,,4319359708.983334,4572728819.05,3510920103.0,20260530,global,gov_bond,,490490,SOL 미국배당미국채혼합50,9.63,3,,SOL,global,gov_bond,4572728819.05,3510920103.0,0.652212,fixed_income_core,20260530,0.721239,0.640351,0.652212
157450,TIGER 단기통안채,TIGER,bond,short_bond,1,stable_bond,0.010389581564348271,0.011579518726252847,0.005982636858441026,0.7787610619469026,0.5,0.647743,,6881915591.083333,9292870834.85,5833193336.0,20260530,domestic,short_bond,2.0,157450,TIGER 단기통안채,1.04,1,2.0,TIGER,domestic,short_bond,9292870834.85,5833193336.0,0.647743,stable_bond,20260530,0.778761,0.921053,0.647743
476550,TIGER 미국30년국채커버드콜액티브(H),TIGER,bond,gov_bond,3,fixed_income_core,0.09569086251522166,-0.09268600252206805,-0.07041343669250644,0.8451327433628318,0.5,0.638938,,13826230109.233334,15765144858.1,17172560748.0,20260530,global,gov_bond,3.0,476550,TIGER 미국30년국채커버드콜액티브(H),9.57,3,3.0,TIGER,global,gov_bond,15765144858.1,17172560748.0,0.638938,fixed_income_core,20260530,0.845133,0.666667,0.638938
214980,KODEX 단기채권PLUS,KODEX,bond,short_bond,1,stable_bond,0.007272983136247381,4.3609088133944596e-05,-0.0013065064018813466,0.7592920353982301,0.5,0.632965,,6092454363.416667,6631981647.25,6023500356.0,20260530,domestic,short_bond,2.0,214980,KODEX 단기채권PLUS,0.73,1,2.0,KODEX,domestic,short_bond,6631981647.25,6023500356.0,0.632965,stable_bond,20260530,0.759292,0.964912,0.632965
476760,ACE 미국30년국채액티브,ACE,bond,gov_bond,3,fixed_income_core,0.12187591413285045,0.08239700374531833,0.006467661691542226,0.727433628318584,0.5,0.632345,,4552171585.466666,4987127110.8,4662516190.0,20260530,global,gov_bond,,476760,ACE 미국30년국채액티브,12.19,3,,ACE,global,gov_bond,4987127110.8,4662516190.0,0.632345,fixed_income_core,20260530,0.727434,0.482456,0.632345
0052S0,1Q 미국S&P500미국채혼합50액티브,1Q,bond,gov_bond,3,fixed_income_core,0.08565299637564647,0.243793445878848,0.10889774236387773,0.6619469026548672,0.5,0.630841,,2637994961.9333334,3348803036.2,2679205944.0,20260530,global,gov_bond,4.0,0052S0,1Q 미국S&P500미국채혼합50액티브,8.57,3,4.0,1Q,global,gov_bond,3348803036.2,2679205944.0,0.630841,fixed_income_core,20260530,0.661947,0.72807,0.630841
484790,KODEX 미국30년국채액티브(H),KODEX,bond,gov_bond,3,fixed_income_core,0.0996906704841076,-0.03054298642533937,-0.05356156819436775,0.7973451327433628,0.5,0.630531,,8223236483.7,9423976324.2,9325580116.0,20260530,global,gov_bond,,484790,KODEX 미국30년국채액티브(H),9.97,3,,KODEX,global,gov_bond,9423976324.2,9325580116.0,0.630531,fixed_income_core,20260530,0.797345,0.596491,0.630531
272580,TIGER 단기채권액티브,TIGER,bond,short_bond,1,stable_bond,0.0081957935523192,0.01649780328162831,0.006748956575792553,0.7230088495575221,0.5,0.626195,,4381035549.5,8839659628.35,5414252998.0,20260530,domestic,short_bond,2.0,272580,TIGER 단기채권액티브,0.82,1,2.0,TIGER,domestic,short_bond,8839659628.35,5414252998.0,0.626195,stable_bond,20260530,0.723009,0.947368,0.626195
447770,TIGER 테슬라채권혼합Fn,TIGER,bond,aggregate_bond,3,fixed_income,0.17496448825558353,0.06510138740661686,0.026045236463331012,0.7610619469026548,0.5,0.623584,,6269615626.183333,8162989852.45,8020349633.0,20260530,domestic,aggregate_bond,,447770,TIGER 테슬라채권혼합Fn,17.5,3,,TIGER,domestic,aggregate_bond,8162989852.45,8020349633.0,0.623584,fixed_income,20260530,0.761062,0.368421,0.623584
0111P0,1Q 미국나스닥100미국채혼합50액티브,1Q,bond,gov_bond,3,fixed_income_core,0.100326407741918,0.19678714859437751,0.1680548750612445,0.6539823008849558,0.5,0.619646,,2515744396.5833335,3731145503.1,3614304141.0,20260530,global,gov_bond,4.0,0111P0,1Q 미국나스닥100미국채혼합50액티브,10.03,3,4.0,1Q,global,gov_bond,3731145503.1,3614304141.0,0.619646,fixed_income_core,20260530,0.653982,0.578947,0.619646
153130,KODEX 단기채권,KODEX,bond,short_bond,1,stable_bond,0.006938960253988317,-0.0004853083914232448,-0.0008379641880568167,0.715929203539823,0.5,0.612389,,4039969270.116667,5188376556.5,1604828482.0,20260530,domestic,short_bond,2.0,153130,KODEX 단기채권,0.69,1,2.0,KODEX,domestic,short_bond,5188376556.5,1604828482.0,0.612389,stable_bond,20260530,0.715929,0.973684,0.612389
237370,KODEX 코리아배당성장채권혼합,KODEX,bond,aggregate_bond,3,fixed_income,0.1052277031309017,0.17004341534008693,-0.00797546012269934,0.6893805309734513,0.5,0.611681,,3332880967.9666667,3709110472.0,4004074016.0,20260530,domestic,aggregate_bond,3.0,237370,KODEX 코리아배당성장채권혼합,10.52,3,3.0,KODEX,domestic,aggregate_bond,3709110472.0,4004074016.0,0.611681,fixed_income,20260530,0.689381,0.552632,0.611681
472170,TIGER 미국테크TOP10채권혼합,TIGER,bond,aggregate_bond,3,fixed_income,0.0915777727029669,0.18531889290012038,0.0993303571428572,0.6849557522123894,0.5,0.611637,,3200559222.383333,4686675664.2,4453662564.0,20260530,global,aggregate_bond,,472170,TIGER 미국테크TOP10채권혼합,9.16,3,,TIGER,global,aggregate_bond,4686675664.2,4453662564.0,0.611637,fixed_income,20260530,0.684956,0.701754,0.611637
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,KIWOOM,bond,aggregate_bond,2,fixed_income,,0.28335759340126154,0.28335759340126154,0.863716814159292,0.5,0.608186,,16932096898.076923,18101032674.7,18026599261.0,20260530,domestic,aggregate_bond,,0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,,2,,KIWOOM,domestic,aggregate_bond,18101032674.7,18026599261.0,0.608186,fixed_income,20260530,0.863717,0.5,0.608186
435420,TIGER 미국나스닥100채권혼합50,TIGER,bond,aggregate_bond,2,fixed_income,0.06443777216523733,0.15038759689922476,0.1087037728800897,0.6867256637168142,0.5,0.606947,,3274642280.2,6099035728.6,5885642419.0,20260530,global,aggregate_bond,4.0,435420,TIGER 미국나스닥100채권혼합50,6.44,2,4.0,TIGER,global,aggregate_bond,6099035728.6,5885642419.0,0.606947,fixed_income,20260530,0.686726,0.754386,0.606947
0138Y0,PLUS 금채권혼합,PLUS,bond,aggregate_bond,3,fixed_income,0.18715055524648364,0.031936127744510934,-0.04612546125461259,0.7353982300884956,0.5,0.606195,,4915620161.016666,4396429426.0,2604236581.0,20260530,domestic,aggregate_bond,,0138Y0,PLUS 금채권혼합,18.72,3,,PLUS,domestic,aggregate_bond,4396429426.0,2604236581.0,0.606195,fixed_income,20260530,0.735398,0.350877,0.606195
0040X0,SOL 팔란티어미국채커버드콜혼합,SOL,bond,gov_bond,3,fixed_income_core,0.19593348856088058,-0.027118644067796627,-0.00396628656420428,0.7398230088495575,0.5,0.605354,,5240761501.266666,6052897234.55,9774617514.0,20260530,global,gov_bond,3.0,0040X0,SOL 팔란티어미국채커버드콜혼합,19.59,3,3.0,SOL,global,gov_bond,6052897234.55,9774617514.0,0.605354,fixed_income_core,20260530,0.739823,0.342105,0.605354
448540,ACE 엔비디아채권혼합,ACE,bond,aggregate_bond,3,fixed_income,0.12958697497171012,0.20192307692307687,0.06120434353405724,0.6504424778761062,0.5,0.598584,,2435716168.233333,3706880864.75,2823737816.0,20260530,domestic,aggregate_bond,,448540,ACE 엔비디아채권혼합,12.96,3,,ACE,domestic,aggregate_bond,3706880864.75,2823737816.0,0.598584,fixed_income,20260530,0.650442,0.473684,0.598584
0104H0,KoAct 미국나스닥채권혼합50액티브,KoAct,bond,aggregate_bond,3,fixed_income,0.18132240115982567,0.32800798801797315,0.20253164556962022,0.6035398230088496,0.5,0.595708,,1743212483.6666667,3697666226.25,6273417033.0,20260530,global,aggregate_bond,,0104H0,KoAct 미국나스닥채권혼합50액티브,18.13,3,,KoAct,global,aggregate_bond,3697666226.25,6273417033.0,0.595708,fixed_income,20260530,0.60354,0.359649,0.595708
148070,KIWOOM 국고채10년,KIWOOM,bond,gov_bond,2,fixed_income_core,0.06405796912903748,-0.09489677668569463,-0.028784599088103935,0.7380530973451327,0.5,0.590398,,5074516741.983334,3782458926.5,1172432817.0,20260530,domestic,gov_bond,2.0,148070,KIWOOM 국고채10년,6.41,2,2.0,KIWOOM,domestic,gov_bond,3782458926.5,1172432817.0,0.590398,fixed_income_core,20260530,0.738053,0.763158,0.590398
0085P0,ACE 미국10년국채액티브,ACE,bond,gov_bond,3,fixed_income_core,0.09849608069688391,0.08433133732534936,0.02306967984934083,0.6274336283185841,0.5,0.587876,,2124770506.3,2281523571.1,2319514077.0,20260530,global,gov_bond,,0085P0,ACE 미국10년국채액티브,9.85,3,,ACE,global,gov_bond,2281523571.1,2319514077.0,0.587876,fixed_income_core,20260530,0.627434,0.622807,0.587876
471230,KODEX 국고채10년액티브,KODEX,bond,gov_bond,2,fixed_income_core,0.05998938252015915,-0.08273538676933845,-0.030430560051796673,0.7247787610619469,0.5,0.586726,,4411114890.25,4197068607.2,1542185925.0,20260530,domestic,gov_bond,2.0,471230,KODEX 국고채10년액티브,6.0,2,2.0,KODEX,domestic,gov_bond,4197068607.2,1542185925.0,0.586726,fixed_income_core,20260530,0.724779,0.789474,0.586726
114260,KODEX 국고채3년,KODEX,bond,gov_bond,1,fixed_income_core,0.025320834171137816,-0.022607864989651283,-0.008239095315024203,0.6920353982300885,0.5,0.584558,,3400121477.0666666,3911544022.6,3953123465.0,20260530,domestic,gov_bond,2.0,114260,KODEX 국고채3년,2.53,1,2.0,KODEX,domestic,gov_bond,3911544022.6,3953123465.0,0.584558,fixed_income_core,20260530,0.692035,0.833333,0.584558
273130,KODEX 종합채권(AA-이상)액티브,KODEX,bond,credit_bond,2,fixed_income,0.03972187451772334,-0.06352881741253735,-0.022198777968262307,0.7601769911504425,0.5,0.580195,,6205057262.433333,8007864150.95,3407121027.0,20260530,domestic,credit_bond,2.0,273130,KODEX 종합채권(AA-이상)액티브,3.97,2,2.0,KODEX,domestic,credit_bond,8007864150.95,3407121027.0,0.580195,fixed_income,20260530,0.760177,0.807018,0.580195
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,SOL,bond,aggregate_bond,3,fixed_income,0.1665298838111284,-0.16407766990291262,-0.032584269662921383,0.7672566371681416,0.5,0.579646,,6470473062.6,7730057473.9,5186305286.0,20260530,domestic,aggregate_bond,3.0,0040Y0,SOL 팔란티어커버드콜OTM채권혼합,16.65,3,3.0,SOL,domestic,aggregate_bond,7730057473.9,5186305286.0,0.579646,fixed_income,20260530,0.767257,0.394737,0.579646
440650,ACE 미국달러단기채권액티브,ACE,bond,short_bond,3,stable_bond,0.10700021424774322,0.09384548232212997,0.05961945031712479,0.5734513274336284,0.5,0.576062,,1418944490.7833333,1282692099.2,1018901090.0,20260530,global,short_bond,2.0,440650,ACE 미국달러단기채권액티브,10.7,3,2.0,ACE,global,short_bond,1282692099.2,1018901090.0,0.576062,stable_bond,20260530,0.573451,0.54386,0.576062
305080,TIGER 미국채10년선물,TIGER,bond,gov_bond,3,fixed_income_core,0.09430527673036669,0.10575745202123321,0.030833650551960412,0.5849557522123894,0.5,0.573009,,1539069462.9666667,1641304589.8,1278759617.0,20260530,global,gov_bond,,305080,TIGER 미국채10년선물,9.43,3,,TIGER,global,gov_bond,1641304589.8,1278759617.0,0.573009,fixed_income_core,20260530,0.584956,0.675439,0.573009
190620,ACE 단기통안채,ACE,bond,short_bond,1,stable_bond,0.025535755419506347,-0.003345139708776035,0.005708612558947612,0.6300884955752213,0.5,0.572345,,2145428041.7833333,2600128110.65,710617361.0,20260530,domestic,short_bond,2.0,190620,ACE 단기통안채,2.55,1,2.0,ACE,domestic,short_bond,2600128110.65,710617361.0,0.572345,stable_bond,20260530,0.630088,0.824561,0.572345
069500,KODEX 200,KODEX,equity,broad_index,5,core_equity,0.4007333743300593,2.730354178195905,0.4832764880624931,0.9982300884955753,0.5,0.892451,,2127410352033.95,2722701740344.3,2525014806132.0,20260530,domestic,index200,4.0,069500,KODEX 200,40.07,5,4.0,KODEX,domestic,index200,2722701740344.3,2525014806132.0,0.892451,core_equity,20260530,0.99823,0.245614,0.892451
139260,TIGER 200 IT,TIGER,equity,broad_index,5,core_equity,0.5021197316185991,6.077386556204105,1.0998882681564246,0.9699115044247788,0.5,0.892451,,120944477513.85,254862764067.95,470219224240.0,20260530,domestic,index200,4.0,139260,TIGER 200 IT,50.21,5,4.0,TIGER,domestic,index200,254862764067.95,470219224240.0,0.892451,core_equity,20260530,0.969912,0.070175,0.892451
102110,TIGER 200,TIGER,equity,broad_index,5,core_equity,0.4009806528444269,2.739540038791909,0.48568912373403794,0.988495575221239,0.5,0.88931,,542949114590.0,692625262609.85,736053964404.0,20260530,domestic,index200,4.0,102110,TIGER 200,40.1,5,4.0,TIGER,domestic,index200,692625262609.85,736053964404.0,0.88931,core_equity,20260530,0.988496,0.22807,0.88931
148020,RISE 200,RISE,equity,broad_index,5,core_equity,0.4016852381164506,2.752787336545079,0.4881283772719829,0.9787610619469026,0.5,0.885637,,173403347741.3,214293395521.9,214943344479.0,20260530,domestic,index200,4.0,148020,RISE 200,40.17,5,4.0,RISE,domestic,index200,214293395521.9,214943344479.0,0.885637,core_equity,20260530,0.978761,0.201754,0.885637
278530,KODEX 200TR,KODEX,equity,broad_index,5,core_equity,0.4021155273629466,2.76523088863019,0.48227925450656883,0.9407079646017699,0.5,0.868867,,58933233815.05,87859947429.1,80746058446.0,20260530,domestic,index200,4.0,278530,KODEX 200TR,40.21,5,4.0,KODEX,domestic,index200,87859947429.1,80746058446.0,0.868867,core_equity,20260530,0.940708,0.192982,0.868867
237350,KODEX 코스피100,KODEX,equity,broad_index,5,core_equity,0.4060113895677029,2.8974729241877255,0.496534516218464,0.9300884955752212,0.5,0.867805,,48256046549.21667,65788426738.85,43305225101.0,20260530,domestic,equity,,237350,KODEX 코스피100,40.6,5,,KODEX,domestic,equity,65788426738.85,43305225101.0,0.867805,core_equity,20260530,0.930088,0.157895,0.867805
105190,ACE 200,ACE,equity,broad_index,5,core_equity,0.40060724144433224,2.7351403412217943,0.48474075694596364,0.9371681415929204,0.5,0.865681,,54489698180.23333,58443306369.9,56131853712.0,20260530,domestic,index200,4.0,105190,ACE 200,40.06,5,4.0,ACE,domestic,index200,58443306369.9,56131853712.0,0.865681,core_equity,20260530,0.937168,0.254386,0.865681
152100,PLUS 200,PLUS,equity,broad_index,5,core_equity,0.39880806617342285,2.73070115724983,0.4834343871805977,0.9362831858407079,0.5,0.864752,,51715103781.86667,63017414990.75,38236393871.0,20260530,domestic,index200,4.0,152100,PLUS 200,39.88,5,4.0,PLUS,domestic,index200,63017414990.75,38236393871.0,0.864752,core_equity,20260530,0.936283,0.280702,0.864752
